publish_on,release_date,video,cover,artist,name,label,review,related,fcc_notes,slug,artist_slug
2018-07-22,2018-06-29,youtube:lgmw41CY1Fo,,Red Baraat,Sound The People,Rhyme + Reason,"A beat-heavy collection of international sounds, this band is literally all over the place in a boundary-pushing mix of afrobeat, bhangra, hip-hop, jazz and other genres.","Balkan Beat Box, Asian Dub Foundation, Antibalas",#5,red-baraat-sound-the-people,red-baraat
2018-08-30,2018-07-20,youtube:d-Xgyov4ttk,,Bênní,The Return,Goner,Cinematic expressions of synthesis collide and swirl for an introspective instrumental journey. Analog reigns supreme to bring an auditory vision of a future from the past.,"QuarterHawk, Jean-Michel Jarre, Tangerine Dream, Maserati, Com Truise",Clean,benni-the-return,benni
2018-09-01,2018-06-07,youtube:m396IpgjdiI,,Jamie Younkin,Did It Anyway,,Trumpeter Jamie Younkin mixes standards and her own compositions in this smoky set of songs that feature languid vocals and finessed horn playing.,"Chet Baker, Chris Botti, Diana Krall",Clean,jamie-younkin-did-it-anyway,jamie-younkin
2018-09-03,2018-05-04,youtube:rMXmnR3nSOI,,The Creation Factory,The Creation Factory,Lolipop,"A pitch perfect replica of what made the British Invasion so formidable. Face-melting fuzz, underwater cathedral organs, warbling vocal harmonies, and so much more.","The Rolling Stones, The Brian Jonestown Massacre, The Jessica Fletchers",Clean,the-creation-factory,creation-factory
2018-09-06,2018-06-22,youtube:n8uWfxhdaek,,Gang Gang Dance,Kazuashita,4AD,"An intense mix of international flavors and electronic treatments, this album is an exotic transcendental journey across imaginary foreign lands.","Cocteau Twins, Beats Antique, Medicine Drum, Slowdive",Clean,gang-gang-dance-kazuashita,gang-gang-dance
2018-09-08,2018-07-27,youtube:4OGHkcemxks,,Thin Lips,Chosen Family,Lame-O,"Rock anthems filled with quirky bits of beat and string, layered with some honey-toned vocals and surging guitars.","Speedy Ortiz, Courtney Barnett, Liz Phair","#5, #10",thin-lips-chosen-family,thin-lips
2018-09-09,2018-08-03,youtube:ftbWYFbNF00,,The Purrs,Destroy The Sun,Swoon,"Driving indie guitar rock with extra-strength riffs and detailed dynamics, great harmonies, and memorable hooks.","Pavement, Superchunk, The Vaccines",Clean,the-purrs-destroy-the-sun,purrs
2018-09-11,2018-07-20,youtube:uU2aD2zuMX8,,Wild Pink,Yolk In The Fur,Tiny Engines,"Alternative rock with a tinge of Americana, the perfect thing to eat up miles and miles of road trip.","Echo and the Bunnymen, Stornoway, War on Drugs",#8,wild-pink-yolk-in-the-fur,wild-pink
2018-09-13,2018-08-03,youtube:JXCbALsrWYU,,Shy Boys,Bell House,Polyvinyl,"Very understated, yet completely engaging. Shy Boys live up to their name with this collection of softly-strummed, gently-tapped, whisper-harmonized indie basement gems.","Stephen Malkmus, Real Estate, Yo La Tengo",Clean,shy-boys-bell-house,shy-boys
2018-09-14,2018-06-29,youtube:5RtMam-4pdg,,The Rubens,Lo La Ru,Ivy League,"Fantastic Aussie rock-pop with a lot of variety, each song having its own strange melodic structure and personality. ","Cage The Elephant, Jellyfish, Born Ruffians","#4, #5, #6, #10",the-rubens-lo-la-ru,rubens
2018-09-16,2018-08-03,youtube:YTW5EIctMKs,,Spider Bags,Someday Everything Will Be Fine,Merge,"Fast-forward punk, with the sort of edge that comes from the current DIY movement, and an unknown spice that makes the songs stand out from your standard barrage of fuzzed out chords and beats.","Social Distortion, Parquet Courts, The Oblivians, Bad Brains","#1, #6",spider-bags-someday-everything-will-be-fine,spider-bags
2018-09-28,2018-09-28,youtube:V1B6CY5GiUI,,All Them Witches,ATW,New West,"A rollicking ride through rock and roll’s back roads, with fuzzed-out riffing coming on way too loud for the stereo. Good times.","Led Zeppelin, Melvins, Low Frequency In Stereo, Queens of the Stone Age",Clean,all-them-witches-atw,all-them-witches
