special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2008-09-23,02,BREAK,,,,BREAK,X,,
,,,,2008-09-23,03,Los Rebeldes,Sugar Oaks,,,from Clearwater,,,
,,,,2008-09-23,04,Parentheses,The Blow,,,Nice ‘80s throwback track,,,
,,,,2008-09-23,05,The Light Brigade,Noonday Underground,,,"Stringbeat, emphasis on beat",,,
,,,,2008-09-23,06,Wake Me Up,Tone,,,"Beautiful, Danish",,,
,,,,2008-09-23,07,BREAK,,,,BREAK,X,,
,,,,2008-09-23,08,Just One Of Those Things,Blossom Dearie,,,remix by Brazilian Girls,,,
,,,,2008-09-23,09,Morricone,Hey Hey My My,,,Spooky,,,
,,,,2008-09-23,10,Fisher Price,Creedle,,,Don’t mess with me when I’m in the mirror dressed as Elvis,,,
,,,,2008-09-23,11,Police + Thieves,Junior Margin,,,The original?,,,
,,,,2008-09-23,12,BREAK,,,,BREAK,X,,
,,,,2008-09-23,13,(What’s So Funny About) Peace Love and Understanding,Elvis Costello,,,Song by Nick Lowe,,,
,,,,2008-09-23,14,(I’m A Donkey) For Your Love,Boat,,,,,,
,,,,2008-09-23,15,(Relax) You Will Think You’re A Chicken,Shadowy Men on a Shadowy Planet,,,Buk buk,,,
,,,,2008-09-23,16,(I Love The Sound Of) Breaking Glass,Nick Lowe,,,Lowe must like parentheses,,,
,,,,2008-09-23,17,BREAK,,,,BREAK,X,,
,,,,2008-09-23,18,The Hymn for the Cigarettes,Hefner,,,Product placement warning,,,
,,,,2008-09-23,19,Collapsed In The Superdome,Oranger,,,A guitar solo made of molten Beach Boys,,,
,,,,2008-09-23,20,Meat,Robyn Hitchcock,,,,,,
,,,,2008-09-23,21,Friday Night at the Drive-In Bingo Parlor,Jens Lekman,,,I suppose these are popular in Sweden,,,
,,,,2008-09-23,22,BREAK,,,,BREAK,X,,
,,,,2008-09-23,23,Are You Waiting For Me?,Hoosegow,,,Yearning blues from Queen Esther and E. Sharp,,,
,,,,2008-09-23,24,What They Found,Octopus Project,,,Clockwork Pink Floyd,,,
,,,,2008-09-23,25,Free Again,Teenage Fanclub,,,"Classic song, live",,,
,,,,2008-09-23,26,BREAK,,,,BREAK,X,,
,,,,2008-09-23,27,My Patch,Jim Noir,,,Singled out by my kids,,,
,,,,2008-09-23,28,Film Co-Work Co.,Creedle,,,Slow and incremental,,,
,,,,2008-09-23,29,The Dream Machines,Sukia,,,Wasn’t the the sample from “You Will Think You Are A Chicken?”,,,
,,,,2008-09-23,30,BREAK,,,,BREAK,X,,
,,,,2008-09-23,31,Cuchi Cuchi,Los Amigos Invisibles,,,Coochi coochi! Venezuelan!,,,
,,,,2008-09-23,32,Salami Fever,Pepe Deluxe,,,Dig the wah,,,
,,,,2008-09-23,33,Dirty Business,Dresden Dolls,,,Bombastic,,,
,,,,2008-09-23,34,Mansard Roof,Vampire Weekend,,,For my lover of mansard roofs,,,
,,,,2008-09-23,35,BREAK,,,,BREAK,X,,
,,,,2008-09-23,36,Woman,Everthus the Deadbeats,,,"Winner, band name of the night",,,
,,,,2008-09-23,37,Rough Gem,Islands,,,Descended from the Unicorns,,,
,,,,2008-09-23,38,Marrakech,Gachupin,,,Instrumentality,,,
,,,,2008-09-23,39,Pink Gardenias,Flat Duo Jets,,,Short and sweet-smelling,,,
,,,,2008-09-23,40,BREAK,,,,BREAK,X,,
,,,,2008-09-23,41,Soon,Japancakes,,,Mostly acoustic cover of My Bloody Valentine classic,,,
,,,,2008-09-30,00,Playlist for 2008-09-30,,,,,X,,
,,,,2008-09-30,01,Jungle Drum,Emiliana Torrini,,,"Also scores high on the exotic scale, as Emiliana is half-Italian, half Icelandic. Shout out to my crypto-Icelander Hannah.",,,
,,,,2008-09-30,02,South Central Rock,Zoobombs,,,"Japan says, “swift the kick mighty!”",,,
