special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2010-12-07,00,Playlist for 2010-12-07,,,,,X,,
,,,,2010-12-07,01,Be Mine,Cagney & Lacee,,,A great take on a Suicide song,,,
,,,,2010-12-07,02,BREAK,,,,BREAK,X,,
,,,,2010-12-07,03,Splendid,Professor Elemental,,,A true dust-up should ensue!,,B0045F9QGK,http://itunes.apple.com/us/album/the-indifference-engine/id399211341
,,,,2010-12-07,04,Club Mekon,The Mekons,,,Lyrical platinum,,,
,,,,2010-12-07,05,Rum'n'cocacola (Shake It Up Well),Tim Tim,,,Calypso perversion,,B002XNIE96,http://itunes.apple.com/us/album/electro-swing-vol-2/id340400252
,,,,2010-12-07,06,Mars Loves Venus,The Brunettes,,,New Tweeland!,,B001I4Q40C,http://itunes.apple.com/us/album/mars-loves-venus/id293605062
,,,,2010-12-07,07,BREAK,,,,BREAK,X,,
,,,,2010-12-07,08,Turn On The Water,The Afghan Whigs,,,"Been digging the Whigs, expect more",,B0011RK0U6,http://itunes.apple.com/us/album/congregation/id376661121
,,,,2010-12-07,09,Ivanka,Imperial Teen,,,From the Old Enough To Know Better compilation,,B000VP94UG,http://itunes.apple.com/us/album/old-enough-to-know-better/id199272351
,,,,2010-12-07,10,Michelle,Flat Duo Jets,,,Dexter’s all a-fuzzled,,B001UC4ZEE,http://itunes.apple.com/us/album/white-trees/id206173936
,,,,2010-12-07,11,Native American Express (Taiwanese Umbrella),Persons,,,On the buffalo trail,,,
,,,,2010-12-07,12,BREAK,,,,BREAK,X,,
,,,,2010-12-07,13,Goin' Down,The Monkees,,,One of many strange Monkees songs,,B00125U25A,http://itunes.apple.com/us/album/the-best-of-the-monkees/id4512505
,,,,2010-12-07,14,Crying Blood,VV Brown,,,Heating up the night,,B003CJ87RE,http://itunes.apple.com/us/album/travelling-like-the-light/id353379934
,,,,2010-12-07,15,At The Mall In Klamath Falls,Jason Lytle,,,I’ve been there,,,
,,,,2010-12-07,16,One More Time,Joe Jackson,,,Going out by request for Angela!,,B000W15DJA,http://itunes.apple.com/us/album/look-sharp-bonus-tracks/id414800
,,,,2010-12-07,17,BREAK,,,,BREAK,X,,
,,,,2010-12-07,18,Pump It Up,Elvis Costello,,,You may have heard this as a cheesy dance song,,B000V6MQX2,http://itunes.apple.com/us/album/this-years-model-deluxe-edition/id275219172
,,,,2010-12-07,19,Malibu Love Nest,Luna,,,Featuring Dean Wareham’s kiwi drawl,,B00031R6US,
,,,,2010-12-07,20,Power And Volume,Big Soap,,,Cincinnati theremonsters,,,
,,,,2010-12-07,21,BREAK,,,,BREAK,X,,
,,,,2010-12-07,22,Fuego,Bomba Estéreo,,,Bring on the fuego tonight,,B002EHLG2S,http://itunes.apple.com/us/album/blow-up/id319403731
,,,,2010-12-07,23,Un Woman's Paradis,Dimitri From Paris,,,Formerly of Deee-lite,,B000024QDC,
,,,,2010-12-07,24,Someday Someway,Marshall Crenshaw,,,My first CD purchase,,B00004UEIX,http://itunes.apple.com/us/album/marshall-crenshaw/id50235388
,,,,2010-12-07,25,Come And Get It,Badfinger,,,Celebrating partnerings of Apples!,,B003YZ2VJ6,http://itunes.apple.com/us/album/come-and-get-it/id384685374
,,,,2010-12-07,26,BREAK,,,,BREAK,X,,
,,,,2010-12-07,27,Spinning Wheel,What!,,,"Majestic, isn’t it",,,
,,,,2010-12-07,28,Jack's Tune,Southern Culture on the Skids,,,Delightful little instrumental,,B0041ISYC8,http://itunes.apple.com/us/album/the-kudzu-ranch/id390218835
,,,,2010-12-07,29,No Bar Do Samba,Zuco 103,,,Brazilian-dutch crossover,,B0016OB1KC,http://itunes.apple.com/us/album/outro-lado/id275273485
,,,,2010-12-07,30,Cinnamon Girl,[Dunkelbunt] feat. Boban I Mar,,,"Dec 7, 2010 3:56 1416000012/",,B000QK8LBE,http://itunes.apple.com/us/album/cinnamon-girl/id282761055
,,,,2010-12-07,31,BREAK,,,,BREAK,X,,
,,,,2010-12-07,32,Take Me Higher,Mellow,,,Investigate the wonderful CQ soundtrack,,B0000645I7,
,,,,2010-12-07,33,Solid Gone,Madness,,,"Early, early Madness",,,
,,,,2010-12-07,34,Double Whammy,Dim Dim + the Snacknut Brothers,,,"Brief, dutch",,,
,,,,2010-12-07,35,Kurious Oranj,The Fall,,,"Kurious, kurious oranj",,B000S5BYBQ,http://itunes.apple.com/us/album/i-am-kurious-oranj/id3023367
,,,,2010-12-07,36,BREAK,,,,BREAK,X,,
,,,,2010-12-07,37,Afro Blue (Koop Remix),Susana Baca,,,Sounds quite Koop,,B000S9C3NU,http://itunes.apple.com/us/album/luaka-bop-remix/id81843336
,,,,2010-12-07,38,I'll Take You There,The Staple Singers,,,Still good after all this time,,B001P73WGQ,http://itunes.apple.com/us/album/the-very-best-staple-singers/id257441365
,,,,2010-12-07,39,Blue Cash,Deerhoof,,,From the soundtrack to The Kids Are All Right,,B003XXM8DS,http://itunes.apple.com/us/album/the-kids-are-all-right-original/id378939200
,,,,2010-12-14,00,Playlist for 2010-12-14,,,,,X,,
,,,,2010-12-14,01,Wave Of Mutilation,Superdrag,,,Noisy in a different way,,B000XUL5JC,
,,,,2010-12-14,02,BREAK,,,,BREAK,X,,
,,,,2010-12-14,03,Sir Rockaby,Frank Black,,,Lovely organ there,,,
,,,,2010-12-14,04,Derezzed,Daft Punk,,,From the upcoming Tron soundtrack,,B004EI3ON4,http://itunes.apple.com/us/album/tron-legacy/id406192538
,,,,2010-12-14,05,By the Way,Cagney & Lacee,,,So terribly sad,,,
,,,,2010-12-14,06,Memories,Waldeck,,,Get this White Mink compilation for yourself already,,B0032XCAVE,http://itunes.apple.com/us/album/white-mink-electro-swing-versus/id349049796
,,,,2010-12-14,07,BREAK,,,,BREAK,X,,
,,,,2010-12-14,08,Tattooed Love Boys,The Pretenders,,,Offbeats shake-a-shake,,B00122OUFG,http://itunes.apple.com/us/album/pretenders-remastered/id197210446
,,,,2010-12-14,09,L.O.V.E.,VV Brown,,,What kind of anachronism plugin is she running?,,B003CJ87RE,http://itunes.apple.com/us/album/travelling-like-the-light/id353379934
,,,,2010-12-14,10,Hard Petting,Tipsy,,,Warp lounge,,B000050I4V,
,,,,2010-12-14,11,A Tear for Eddie,Ween,,,It’s Ween at their most soulful,,B000002HFE,http://itunes.apple.com/us/album/chocolate-cheese/id40286124
,,,,2010-12-14,12,BREAK,,,,BREAK,X,,
,,,,2010-12-14,13,Brown Shoe,What!,,,Big shout out to Mike Owens!,,,
,,,,2010-12-14,14,Can U Dig It,Pop Will Eat Itself,,,Name-checking motherlode!,,B001BHJQMY,http://itunes.apple.com/us/album/this-is-the-day/id291164148
,,,,2010-12-14,15,You My Flower,Afghan Whigs,,,As good as chili on spaghetti,,B0011RKZZ6,http://itunes.apple.com/us/album/up-in-it/id376664079
,,,,2010-12-14,16,BREAK,,,,BREAK,X,,
,,,,2010-12-14,17,Ça Plane Pour Moi,Aluminum Babe,,,Hard to mess this one up.,,,
,,,,2010-12-14,18,Cab It Up!,The Fall,,,What’s he going on about?,,B000S5BYBQ,http://itunes.apple.com/us/album/i-am-kurious-oranj/id3023367
,,,,2010-12-14,19,La Revedere,Dunkelbunt Feat Amsterdam Klezmer Band,,,I got the Balkan feber,,B00128DFO2,http://itunes.apple.com/us/album/morgenlandfahrt/id251581859
,,,,2010-12-14,20,Baggy Trousers,Madness,,,Second video!,,B001O4O3VI,
,,,,2010-12-14,21,BREAK,,,,BREAK,X,,
,,,,2010-12-14,22,Fighting Trousers,Professor Elemental,,,I’m watching this one avidly,,B0045F5LI2,http://itunes.apple.com/us/album/the-indifference-engine/id399211341
,,,,2010-12-14,23,Inches And Falling,The Format,,,Greetings to Michael!,,B002OV8XKW,http://itunes.apple.com/us/album/dog-problems-bonus-track-version/id161501840
,,,,2010-12-14,24,Picture of the Future,Treat Her Right,,,"Yeah, it’s Sandman",,B003N4ZYTW,http://itunes.apple.com/us/album/tied-to-the-tracks/id373566843
,,,,2010-12-14,25,Fonnovo,Los Amigos Invisibles,,,Estan fonki,,B000S98WCG,http://itunes.apple.com/us/album/arepa-3000-a-venezuelan-journey/id4512458
,,,,2010-12-14,26,BREAK,,,,BREAK,X,,
,,,,2010-12-14,27,A Wolf In Geek's Clothing,The Naked + Famous,,,I love the out of control,,B0042114X0,
,,,,2010-12-14,28,Whatever,Asylum Street Spankers,,,Go green!,,B000U8MRXK,http://itunes.apple.com/us/album/my-favorite-record/id254927923
,,,,2010-12-14,29,Havana Affair,Ramones,,,Clears the pipes it does,,B0012FCH1C,http://itunes.apple.com/us/album/weird-tales-ramones-audio/id77820445
,,,,2010-12-14,30,BREAK,,,,BREAK,X,,
,,,,2010-12-14,31,Bucky Done Gone,M.I.A.,,,Blasting out of Sri Lanka,,B000VT9F60,http://itunes.apple.com/us/album/arular/id63570677
,,,,2010-12-14,32,One Too Many Blows To The Head,The Dismemberment Plan,,,Rumors of a reunion?,,B000QQTMCU,http://itunes.apple.com/us/album/the-dismemberment-plan-is/id6581621
,,,,2010-12-14,33,Apeman,The Kinks,,,I am an apeman.,,B000VZV87S,http://itunes.apple.com/us/album/lost-found-1986-89/id6205164
,,,,2010-12-14,34,Life on Mars?,Keren Ann,,,Cinematic in scope,,B003XN5IGM,http://itunes.apple.com/us/album/we-were-so-turned-on-a-tribute/id384763936
,,,,2010-12-14,35,BREAK,,,,BREAK,X,,
,,,,2010-12-14,36,Panic Breaks,Thou,,,Smooth nervous breakdown,,B000T1FSRU,http://itunes.apple.com/us/album/put-us-in-tune/id57417775
,,,,2010-12-14,37,Will My Feet Still Carry Me Home,Elf Power,,,The Elephant Six!,,B000QZVTDG,http://itunes.apple.com/us/album/a-dream-in-sound/id129703123
,,,,2010-12-14,38,Hope,Internal External,,,With Lois Maffeo’s silky voice,,B0013DA36E,http://itunes.apple.com/us/album/featuring/id260280083
,,,,2010-12-14,39,BREAK,,,,BREAK,X,,
,,,,2010-12-14,40,Interstellar Overdrive,Camper Van Beethoven,,,Pink Floyd wishes they could do this.,,B000ZMQ5ES,http://itunes.apple.com/us/album/camper-van-beethoven/id75113649
,,,,2010-12-21,00,Playlist for 2010-12-21,,,,,X,,
,,,,2010-12-21,01,I Want You Back (In Discovery),Discovery,,,Exploding with Auto-tune!,,B002EAP0FE,http://itunes.apple.com/us/album/lp-bonus-track-version/id319345775
,,,,2010-12-21,02,BREAK,,,,BREAK,X,,
,,,,2010-12-21,03,Wanted,Nortec Collective,,,"Tijuana’s most wanted, actually",,B002CL989E,http://itunes.apple.com/us/album/tijuana-sound-machine-nortec/id298901774
,,,,2010-12-21,04,Gimme Gimme Your Heart,The Cryptkeeper Five,,,Some dramatic New Jersey sound for yer,,B0010QV2Q4,http://itunes.apple.com/us/album/trenton-makes-the-cryptkeeper/id266072329
,,,,2010-12-21,05,My Guitar Wants To Kill Your Mama,The Persuasions,,,Zappa would approve,,B000S5A2N2,http://itunes.apple.com/us/album/frankly-a-cappella/id203170815
,,,,2010-12-21,06,I Want Answers,House of Freaks,,,A reasonable request,,,
,,,,2010-12-21,07,BREAK,,,,BREAK,X,,
,,,,2010-12-21,08,I Want Candy,Bow Wow Wow,,,Other bands with two drummers?,,B001D6N1LU,http://itunes.apple.com/us/album/the-best-of-bow-wow-wow/id292225137
,,,,2010-12-21,09,What You Need,Westbound Train,,,Rocksteady from Boston,,B0026E84IS,http://itunes.apple.com/us/album/come-and-get-it/id311576893
,,,,2010-12-21,10,Money (That's What I Want),Barrett Strong,,,Recognizable!,,B000VROCIS,http://itunes.apple.com/us/album/money-thats-what-i-want-single/id6749758
,,,,2010-12-21,11,What Do You Want Me to Say?,The Dismemberment Plan,,,Falling apart nicely,,B000QQPS3W,http://itunes.apple.com/us/album/what-do-you-want-me-to-say/id15061386
,,,,2010-12-21,12,"Gimme, Gimme, Gimme",Ben Vaughn Combo,,,"Don’t mince words, Ben",,,
,,,,2010-12-21,13,BREAK,,,,BREAK,X,,
,,,,2010-12-21,14,Gimme Danger,Iggy And The Stooges,,,The birth of punk,,B003EYFZFO,http://itunes.apple.com/us/album/raw-power-legacy-edition/id365473482
,,,,2010-12-21,15,You Want Me Shimmy,Tall Dwarfs,,,Weirdness from New Zealand,,B001GGWLHC,
,,,,2010-12-21,16,I Want The Drugs,Supersuckers,,,"Get to the point, Eddie",,B000V9D1T2,http://itunes.apple.com/us/album/the-evil-powers-of-rock-n-roll/id19073154
,,,,2010-12-21,17,Give Me Bread,The Tennors,,,The history of Jamaican music,,B003QNKAOE,http://itunes.apple.com/us/album/moods/id375668536
,,,,2010-12-21,18,Whatever Lola Wants (Gotan Project Remix),Sarah Vaughan,,,Beated up,,B001NCIGU0,http://itunes.apple.com/us/album/verve-remixed-2/id2237453
,,,,2010-12-21,19,BREAK,,,,BREAK,X,,
,,,,2010-12-21,20,We Want Fun,Andrew W. K.,,,"Sounds like a plan, Andy",,,
,,,,2010-12-21,21,I Want You To Want Me,Cheap Trick,,,The non-fuzzed-out version,,B00138KE4U,http://itunes.apple.com/us/album/cheap-trick-remastered/id170514965
,,,,2010-12-21,22,I Want To Be Sexy,Winterbrief,,,Why is French the language of sexy?,,,
,,,,2010-12-21,23,"Gimme, Gimme",Nikki and the Corvettes,,,Time warp time!,,B001CCHEDG,http://itunes.apple.com/us/album/nikki-and-the-corvettes/id281980341
,,,,2010-12-21,24,BREAK,,,,BREAK,X,,
,,,,2010-12-21,25,Give Me One Reason,Tracy Chapman,,,I don’t think she really wants a reason,,B001IAUGMS,http://itunes.apple.com/us/album/new-beginning/id293102727
,,,,2010-12-21,26,I Want Some,The Make-Up,,,Save some for me.,,B0013AQP96,
,,,,2010-12-21,27,I Want You 2 Love Me So Much I Can't Stand Up,We Ragazzi,,,A cry of desperation,,B000QZYI20,http://itunes.apple.com/us/album/the-ache/id29767704
,,,,2010-12-21,28,Gimme Some Money,Spinal Tap,,,Where are they now?,,B001O01HU2,http://itunes.apple.com/us/album/this-is-spinal-tap/id407270
,,,,2010-12-21,29,BREAK,,,,BREAK,X,,
,,,,2010-12-21,30,"Want It, You Got It",The Rikters,,,Heavy thumps,,B0012M79TK,http://itunes.apple.com/us/album/dont-you-get-it/id219348840
,,,,2010-12-21,31,Gimmie Gimmie Gimmie,Black Flag,,,Moshing in Connecticut,,B000V8YIPO,http://itunes.apple.com/us/album/damaged/id117018235
,,,,2010-12-21,32,"We Want, We Would Appreciate",Lord High Fixers,,,Hy-mo-tizing,,,
,,,,2010-12-21,33,Gimme,Marnie Stern,,,A glorious racket,,B0040GSSMM,http://itunes.apple.com/us/album/marnie-stern/id391325429
,,,,2010-12-21,34,I Want The Panic!,Agenda,,,Give them the panic already,,B000QZQSZK,http://itunes.apple.com/us/album/start-the-panic/id20839933
,,,,2010-12-21,35,BREAK,,,,BREAK,X,,
,,,,2010-12-21,36,U Got What I Need (Shake),Ex-Models,,,A blast,,B000QZTET2,
,,,,2010-12-21,37,We Want It! We Want It!,BOAT,,,Wildly out of control,,B002SH1O2Q,http://itunes.apple.com/us/album/setting-the-paces/id335095703
,,,,2010-12-21,38,Gimme Da'ting,David Lindley & El Rayo-X,,,"Yes, very greasy",,B001MCP780,http://itunes.apple.com/us/album/very-greasy/id298097160
,,,,2010-12-21,39,I Want To Be In Cuba,Mastretta,,,Hispanic soundtrackery,,B000YN0E7M,http://itunes.apple.com/us/album/mastretta/id17284259
,,,,2010-12-21,40,BREAK,,,,BREAK,X,,
,,,,2010-12-21,41,I Want,The Apples In Stereo,,,Sing along with the apples,,B001RMGLWQ,http://itunes.apple.com/us/album/velocity-of-sound/id336224979
,,,,2010-12-21,42,Give Me A Chance,The Jon Spencer Blues Explosion,,,Hoooooooo!,,B000XEJBFI,http://itunes.apple.com/us/album/acme/id397076662
,,,,2010-12-21,43,I Want You Back,Thee Shams,,,Thee Shams in a plaintive mood,,B0040IBXNG,http://itunes.apple.com/us/album/sign-the-line/id215503254
,,,,2010-12-21,44,We Want The Airwaves,Ramones,,,Give it them!,,B00122L0RW,http://itunes.apple.com/us/album/pleasant-dreams/id78977842
,,,,2010-12-21,45,Gimme The Wire,Ted Leo and the Pharmacists,,,"He doesn’t want it, I think",,B00397F68C,http://itunes.apple.com/us/album/the-brutalist-bricks/id357159655
,,,,2011-01-11,00,Playlist for 2011-01-11,,,,,X,,
,,,,2011-01-11,01,Ice Ice Baby,Ben Kweller,,,That Miami guy may have been onto something,,,
,,,,2011-01-11,02,BREAK,,,,BREAK,X,,
,,,,2011-01-11,03,The Sun,The Naked + Famous,,,"Ominous, relentless",,,
,,,,2011-01-11,04,Jump Around,Brooklyn Funk Essentials,,,Latinesque,,B000QQXE6A,http://itunes.apple.com/us/album/make-them-like-it/id27680708
,,,,2011-01-11,05,Committed,Jenny and Johnny,,,Hard candy pop glaze,,B0040JEEJK,http://itunes.apple.com/us/album/im-having-fun-now/id386491172
,,,,2011-01-11,06,Digga Digga Do,Asylum Street Spankers,,,Cantina musick!,,B000U8PFN4,http://itunes.apple.com/us/album/mercurial/id254933709
,,,,2011-01-11,07,BREAK,,,,BREAK,X,,
,,,,2011-01-11,08,Hells Angels,Fort Lauderdale,,,Actually from across the pond,,,
,,,,2011-01-11,09,My Baby She's Allright,Scruffy the Cat,,,"So bright, so brief",,,
,,,,2011-01-11,10,Sorry Mama,Westbound Train,,,Boston rocksteady,,B000YQOW3G,http://itunes.apple.com/us/album/transitions/id272122928
,,,,2011-01-11,11,Give Me Back Time,Holly Golightly,,,Unbalanced women are so hot,,,
,,,,2011-01-11,12,BREAK,,,,BREAK,X,,
,,,,2011-01-11,13,Keep It On The Paper,Keller Williams,,,Nice moogy solo,,B00476GJL2,http://itunes.apple.com/us/album/kids/id398032160
,,,,2011-01-11,14,Greasy Spoon,AK Momo,,,Swedish clockwork siren,,B0023CTZPY,http://itunes.apple.com/us/album/return-to-n-y/id309845859
,,,,2011-01-11,15,How Now,Get Set Go,,,The Dutch girls like to play with their tools?,,B0013F0GG4,http://itunes.apple.com/us/album/sunshine-joy-happiness-tragic/id271914467
,,,,2011-01-11,16,Testify,Switches,,,Delicious syrupy wooziness,,B0015O7OX6,http://itunes.apple.com/us/album/lay-down-the-law/id275850488
,,,,2011-01-11,17,BREAK,,,,BREAK,X,,
,,,,2011-01-11,18,Odd Couple,Weezer,,,Death to false metal!,,B0048ZFDNW,http://itunes.apple.com/us/album/death-to-false-metal/id397399117
,,,,2011-01-11,19,Don't Try To Fool Me,Miss Li,,,"Mmmm, saxy",,B0040EZWJ6,http://itunes.apple.com/us/album/god-put-a-rainbow-in-the-sky/id387248676
,,,,2011-01-11,20,Girl O' Clock,The Dismemberment Plan,,,The stuttering monster,,B000QQVKWA,http://itunes.apple.com/us/album/emergency-i/id6561716
,,,,2011-01-11,21,Wild and Blue,The Mekons,,,Beautiful take on the John Anderson waltz,,B00005ABLV,
,,,,2011-01-11,22,Good Girls,Amy Rigby,,,Check her out,,B000V98NKY,http://itunes.apple.com/us/album/18-again-an-anthology/id18095499
,,,,2011-01-11,23,BREAK,,,,BREAK,X,,
,,,,2011-01-11,24,Born In The Ghetto,Binder & Krieglstein,,,A sound for every nation,,B0017IZRS4,http://itunes.apple.com/us/album/trip/id252569114
,,,,2011-01-11,25,The Eyes Of The Night,The Starlight Mints,,,There’s cookie monsters in the kitchen,,B000S54VJ8,http://itunes.apple.com/us/album/drowaton/id274589065
,,,,2011-01-11,26,Steam Powered (feat. Mr Jon Clark),Professor Elemental,,,All about steampunk,,B0045F5LI2,http://itunes.apple.com/us/album/the-indifference-engine/id399211341
,,,,2011-01-11,27,"Solid, Jackson",Kincaid,,,Is this Elephant Six? Ya think?,,B000QZRJQC,http://itunes.apple.com/us/album/super-hawaii/id50689523
,,,,2011-01-11,28,BREAK,,,,BREAK,X,,
,,,,2011-01-11,29,I Can't Put My Finger On It,Ween,,,"I don’t know either, guys",,B00123KDWE,http://itunes.apple.com/us/album/chocolate-cheese/id40286124
,,,,2011-01-11,30,Bangin',Bim Skala Bim,,,Back when ska was weird,,B00000AEU8,http://itunes.apple.com/us/album/tuba-city-bonus-track-version/id281082483
,,,,2011-01-11,31,You And Your Sister,The Vulgar Boatmen,,,Gainesville jangle,,B000QZR2RS,http://itunes.apple.com/us/album/you-and-your-sister/id100986984
,,,,2011-01-11,32,New Big Prinz,The Fall,,,That insolent Mark E. Smith,,B000S5BYBQ,http://itunes.apple.com/us/album/i-am-kurious-oranj/id3023367
,,,,2011-01-11,33,BREAK,,,,BREAK,X,,
,,,,2011-01-11,34,Rum & Coca Cola (JoJo Effect Remix),Andrews Sisters,,,"Damn you, Morey Amsterdam",,B002YSWU68,http://itunes.apple.com/us/album/swing-style-vol-2-compiled/id342605725
,,,,2011-01-11,35,a temporary loss of power,The Consortium Of Genius,,,Mad science interval,,,
,,,,2011-01-11,36,Button Down Disco (Fila Brazilla Remix),Clinton,,,Eurovision 1979 -- you had to be there,,B000S9C3NU,http://itunes.apple.com/us/album/luaka-bop-remix/id81843336
,,,,2011-01-11,37,Od Srca (From The Heart),Boban Markovic Orkestar,,,Missing vowels,,B000W1MDX4,http://itunes.apple.com/us/album/boban-i-marko/id263451915
,,,,2011-01-11,38,Boom Pam ,Boom Pam,,,Eponymous Instrumental,,B001E4VYHY,http://itunes.apple.com/us/album/puerto-rican-nights/id288098788
,,,,2011-01-11,39,BREAK,,,,BREAK,X,,
,,,,2011-01-11,40,Mad Went The Barber,The Mabuses,,,Some Penny Lane subliminals,,,
,,,,2011-01-11,41,Sunnyside,The Goodnight Loving,,,Dig their latest album with me,,B003WA3EWG,http://itunes.apple.com/us/album/the-goodnight-loving-supper/id378512095
,,,,2011-01-11,42,Serpent Head Crushed,Half-Handed Cloud,,,Knoxville weirdness,,B000S58E2S,http://itunes.apple.com/us/album/learning-about-your-scale/id309195187
,,,,2011-01-11,43,Discoball World,David Garza,,,The Four Track Manifesto version,,B001NS7JKC,http://itunes.apple.com/us/album/this-euphoria/id299795232
,,,,2011-01-11,44,BREAK,,,,BREAK,X,,
,,,,2011-01-11,45,On & On,VHS Or Beta,,,Time for retro-disco-retro,,B000TDDII4,http://itunes.apple.com/us/album/le-funk/id80709157
,,,,2011-01-18,00,Playlist for 2011-01-18,,,,,X,,
,,,,2011-01-18,01,Invisible Sun,Therapy?,,,One of the Police’s gloomier numbers,,,
,,,,2011-01-18,02,BREAK,,,,BREAK,X,,
,,,,2011-01-18,03,Bratach Bana,Mouth Music,,,"Actually Scottish, what’re you gonna do",,B000QZZWXY,http://itunes.apple.com/us/album/mouth-music/id128877434
,,,,2011-01-18,04,When You Sleep,My Bloody Valentine,,,"Didn’t know they were Irish, did you?",,B003Z49I9W,http://itunes.apple.com/us/album/loveless/id288277647
,,,,2011-01-18,05,Teenage Kicks,The Undertones,,,From Derry in the North,,B003R6CT6W,http://itunes.apple.com/us/album/teenage-kicks-ep/id377503654
,,,,2011-01-18,06,Hey Venus,That Petrol Emotion,,,Featuring member of the Undertones,,B001UNRAU4,http://itunes.apple.com/us/album/chemicrazy/id296307081
,,,,2011-01-18,07,BREAK,,,,BREAK,X,,
,,,,2011-01-18,08,A Pair Of Brown Eyes,The Pogues,,,Nobody sings like a dissipated drunk like Shane,,B00123G6E8,http://itunes.apple.com/us/album/rum-s-y-the-lash-expanded/id189236068
,,,,2011-01-18,09,Funky Ceili,Black 47,,,Not pronounced like it’s spelled,,B004F9UK8O,http://itunes.apple.com/us/album/bittersweet-sixteen/id407489864
,,,,2011-01-18,10,Stop,Frank and Walters,,,From Cork,,B000T1GK4U,http://itunes.apple.com/us/album/beauty-becomes-more-than-life/id95527762
,,,,2011-01-18,11,Buffalo,Stump,,,How much is the fish? Also from Cork,,B00030DFNQ,
,,,,2011-01-18,12,BREAK,,,,BREAK,X,,
,,,,2011-01-18,13,Big John '99,Emperor Penguin,,,Warped ‘90s blues,,B000QZUUE0,http://itunes.apple.com/us/album/extreme-gaming/id69026870
,,,,2011-01-18,14,Castles Made Of Sand,Jimi Hendrix,,,Warped ‘60s blues,,B00307OTDE,http://itunes.apple.com/us/album/experience-hendrix-the-best/id344799413
,,,,2011-01-18,15,My Pet Snakes,Jenny and Johnny,,,Sing it kids!,,B0040JEEJK,http://itunes.apple.com/us/album/im-having-fun-now/id386491172
,,,,2011-01-18,16,BREAK,,,,BREAK,X,,
,,,,2011-01-18,17,Upside Down,Scruffy the Cat,,,Dig that Charlie Chesterman,,,
,,,,2011-01-18,18,Poppa Burger,Junior Varsity,,,Can’t lose with dancing bears.,,B001CKHFXC,http://itunes.apple.com/us/album/bam-bam-bam/id283996678
,,,,2011-01-18,19,Olympia,Baron Von Birdbath,,,It’s all about the northwest,,B00000HF6E,
,,,,2011-01-18,20,Honey,Moby,,,"You’ve heard it, yar",,B001XK4XAE,http://itunes.apple.com/us/album/go-the-very-best-of-moby/id305557309
,,,,2011-01-18,21,BREAK,,,,BREAK,X,,
,,,,2011-01-18,22,Alfio (Maxwell Implosion Rmx),Die Moulinettes,,,An endless back massage,,,
,,,,2011-01-18,23,20 Questions,Amy Rigby,,,Don’t mess with Amy,,B000V98NKY,http://itunes.apple.com/us/album/18-again-an-anthology/id18095499
,,,,2011-01-18,24,Too Much,David Garza,,,Sounding awful Princey,,B001OAUHNA,http://itunes.apple.com/us/album/overdub/id300206509
,,,,2011-01-18,25,Salsa + Microchips,DJ Me DJ You,,,Nice and crunchy,,B001R6MU9A,http://itunes.apple.com/us/album/can-you-see-the-music/id36664474
,,,,2011-01-18,26,BREAK,,,,BREAK,X,,
,,,,2011-01-18,27,Monkey,Binder & Krieglstein,,,Everyone likes monkeys,,B0017IZRS4,http://itunes.apple.com/us/album/trip/id252569114
,,,,2011-01-18,28,The Elements,Tom Lehrer,,,Keep ‘em straight now,,B003A9OQEO,http://itunes.apple.com/us/album/an-evening-wasted-with-tom/id355563280
,,,,2011-01-18,29,There Goes a Tenner,J Davis Trio,,,Originally by Kate Bush,,B001E6FS7O,http://itunes.apple.com/us/album/i-wanna-be-kate-the-songs/id266722726
,,,,2011-01-18,30,Cup Of Brown Joy (Tea Bag Remix),Professor Elemental,,,I say Assam!,,B0045F5LI2,http://itunes.apple.com/us/album/the-indifference-engine/id399211341
,,,,2011-01-18,31,BREAK,,,,BREAK,X,,
,,,,2011-01-18,32,"Memphis, Egypt",The Mekons,,,Terrifyingly good,,B004CBMOJS,http://itunes.apple.com/us/album/heaven-hell/id396332612
,,,,2011-01-18,33,Gyroscope,The Dismemberment Plan,,,Dropping beats left and right,,B00002DDRC,http://itunes.apple.com/us/album/emergency-i/id6561716
,,,,2011-01-18,34,Part 2,The Naked + Famous,,,I’ll have to track down Part 1,,,
,,,,2011-01-18,35,Car And Driver,Rock*a*Teens,,,Plaintive is the word,,B000VPC228,http://itunes.apple.com/us/album/sweet-bird-of-youth/id5613156
,,,,2011-01-18,36,BREAK,,,,BREAK,X,,
,,,,2011-01-18,37,Shaboom They Said,From Bubblegum to Sky,,,Orchestral pop galore,,B001R6JEXA,http://itunes.apple.com/us/album/me-amy-two-french-boys/id36664238
,,,,2011-01-18,38,Don't Make Me Wait,Locksley,,,Wake up!,,B001DSNG7M,http://itunes.apple.com/us/album/dont-make-me-wait/id287682183
,,,,2011-01-18,39,Blues X Man,The Jon Spencer Blues Explosion,,,And who could that be?,,B0046CDU8W,http://itunes.apple.com/us/album/orange/id397072025
,,,,2011-01-18,40,Then I'm Gone,Supersuckers,,,From the split with Electric Frankenstein,,B0000630HO,
,,,,2011-01-18,41,BREAK,,,,BREAK,X,,
,,,,2011-01-18,42,Athlete Cured,The Fall,,,Isn’t that the bassline for “Hellhole”?,,B000S57DHU,http://itunes.apple.com/us/album/the-frenz-experiment/id3023265
